timestamp,event_type,key,button,scroll_dx,scroll_dy,mouse_x,mouse_y,event_state
1748625281.0315745,mouse_move,,,,,1235,1049,moved
1748625281.03957,mouse_move,,,,,1235,1036,moved
1748625281.045652,mouse_move,,,,,1235,1021,moved
1748625281.0535293,mouse_move,,,,,1235,1008,moved
1748625281.0605538,mouse_move,,,,,1235,995,moved
1748625281.0675087,mouse_move,,,,,1233,980,moved
1748625281.0745027,mouse_move,,,,,1228,963,moved
1748625281.080663,mouse_move,,,,,1223,946,moved
1748625281.0877414,mouse_move,,,,,1217,927,moved
1748625281.095452,mouse_move,,,,,1212,913,moved
1748625281.1023822,mouse_move,,,,,1205,900,moved
1748625281.1082811,mouse_move,,,,,1201,888,moved
1748625281.1150134,mouse_move,,,,,1195,877,moved
1748625281.1228747,mouse_move,,,,,1187,866,moved
1748625281.1297035,mouse_move,,,,,1183,857,moved
1748625281.1374187,mouse_move,,,,,1178,851,moved
1748625281.1434352,mouse_move,,,,,1174,845,moved
1748625281.1498306,mouse_move,,,,,1169,840,moved
1748625281.1575463,mouse_move,,,,,1164,836,moved
1748625281.1644645,mouse_move,,,,,1160,833,moved
1748625281.1710734,mouse_move,,,,,1156,831,moved
1748625281.1784143,mouse_move,,,,,1153,828,moved
1748625281.1848059,mouse_move,,,,,1147,825,moved
1748625281.1920965,mouse_move,,,,,1141,821,moved
1748625281.1999483,mouse_move,,,,,1132,818,moved
1748625281.2068534,mouse_move,,,,,1124,814,moved
1748625281.2139552,mouse_move,,,,,1115,811,moved
1748625281.2209523,mouse_move,,,,,1106,808,moved
1748625281.2283618,mouse_move,,,,,1096,805,moved
1748625281.2341447,mouse_move,,,,,1089,803,moved
1748625281.2418504,mouse_move,,,,,1082,801,moved
1748625281.2486732,mouse_move,,,,,1076,799,moved
1748625281.2564468,mouse_move,,,,,1070,798,moved
1748625281.2631884,mouse_move,,,,,1063,796,moved
1748625281.2699752,mouse_move,,,,,1057,794,moved
1748625281.2765741,mouse_move,,,,,1052,793,moved
1748625281.2836862,mouse_move,,,,,1046,791,moved
1748625281.2913473,mouse_move,,,,,1042,790,moved
1748625281.297886,mouse_move,,,,,1039,789,moved
1748625281.305219,mouse_move,,,,,1036,789,moved
1748625281.311965,mouse_move,,,,,1033,789,moved
1748625281.3188553,mouse_move,,,,,1030,788,moved
1748625281.3255997,mouse_move,,,,,1028,788,moved
1748625281.3329015,mouse_move,,,,,1026,788,moved
1748625281.3395133,mouse_move,,,,,1023,787,moved
1748625281.3463283,mouse_move,,,,,1021,787,moved
1748625281.353792,mouse_move,,,,,1018,787,moved
1748625281.3609858,mouse_move,,,,,1015,787,moved
1748625281.3677707,mouse_move,,,,,1011,787,moved
1748625281.3746479,mouse_move,,,,,1006,787,moved
1748625281.382014,mouse_move,,,,,998,787,moved
1748625281.3886123,mouse_move,,,,,989,787,moved
1748625281.3949025,mouse_move,,,,,978,786,moved
1748625281.4022558,mouse_move,,,,,967,785,moved
1748625281.4100723,mouse_move,,,,,956,784,moved
1748625281.4170895,mouse_move,,,,,947,781,moved
1748625281.4241993,mouse_move,,,,,936,780,moved
1748625281.4308,mouse_move,,,,,925,778,moved
1748625281.437549,mouse_move,,,,,916,775,moved
1748625281.4448438,mouse_move,,,,,905,773,moved
1748625281.4516098,mouse_move,,,,,894,771,moved
1748625281.4582455,mouse_move,,,,,882,767,moved
1748625281.465814,mouse_move,,,,,869,764,moved
1748625281.4716465,mouse_move,,,,,856,761,moved
1748625281.479984,mouse_move,,,,,843,758,moved
1748625281.4854887,mouse_move,,,,,832,756,moved
1748625281.4938614,mouse_move,,,,,824,755,moved
1748625281.5010374,mouse_move,,,,,815,753,moved
1748625281.5075884,mouse_move,,,,,810,751,moved
1748625281.514858,mouse_move,,,,,805,750,moved
1748625281.521924,mouse_move,,,,,801,750,moved
1748625281.528447,mouse_move,,,,,799,750,moved
1748625281.535466,mouse_move,,,,,798,750,moved
1748625281.5429244,mouse_move,,,,,797,750,moved
1748625281.5488153,mouse_move,,,,,796,750,moved
1748625281.5563025,mouse_move,,,,,796,750,moved
1748625282.1372516,mouse_move,,,,,805,768,moved
1748625282.143284,mouse_move,,,,,821,790,moved
1748625282.149634,mouse_move,,,,,829,808,moved
1748625282.157311,mouse_move,,,,,838,819,moved
1748625282.1644263,mouse_move,,,,,848,831,moved
1748625282.1705537,mouse_move,,,,,857,843,moved
1748625282.1777952,mouse_move,,,,,865,854,moved
1748625282.184918,mouse_move,,,,,874,869,moved
1748625282.191565,mouse_move,,,,,885,886,moved
1748625282.1987116,mouse_move,,,,,893,899,moved
1748625282.2071676,mouse_move,,,,,904,915,moved
1748625282.2142994,mouse_move,,,,,913,929,moved
1748625282.219754,mouse_move,,,,,922,945,moved
1748625282.227872,mouse_move,,,,,930,956,moved
1748625282.234727,mouse_move,,,,,936,965,moved
1748625282.242257,mouse_move,,,,,943,974,moved
1748625282.2492795,mouse_move,,,,,948,982,moved
1748625282.255861,mouse_move,,,,,953,988,moved
1748625282.262752,mouse_move,,,,,956,994,moved
1748625282.269755,mouse_move,,,,,959,999,moved
1748625282.2766948,mouse_move,,,,,963,1005,moved
1748625282.283522,mouse_move,,,,,967,1011,moved
1748625282.2912672,mouse_move,,,,,971,1016,moved
1748625282.2978535,mouse_move,,,,,974,1020,moved
1748625282.304659,mouse_move,,,,,978,1028,moved
1748625282.3121338,mouse_move,,,,,981,1035,moved
1748625282.3190453,mouse_move,,,,,985,1042,moved
1748625282.324673,mouse_move,,,,,989,1049,moved
1748625282.332694,mouse_move,,,,,992,1055,moved
1748625282.3396258,mouse_move,,,,,995,1060,moved
1748625282.3460402,mouse_move,,,,,998,1064,moved
1748625282.3525507,mouse_move,,,,,1000,1068,moved
1748625282.359854,mouse_move,,,,,1000,1069,moved
1748625282.3672137,mouse_move,,,,,1001,1070,moved
1748625282.3737264,mouse_move,,,,,1001,1071,moved
1748625282.3816545,mouse_move,,,,,1002,1072,moved
1748625282.3886194,mouse_move,,,,,1002,1072,moved
1748625282.402861,mouse_move,,,,,1002,1073,moved
1748625282.4096134,mouse_move,,,,,1003,1073,moved
1748625282.4238422,mouse_move,,,,,1003,1073,moved
1748625282.4308805,mouse_move,,,,,1003,1073,moved
1748625282.438728,mouse_move,,,,,1004,1074,moved
1748625282.444202,mouse_move,,,,,1004,1074,moved
1748625282.4504392,mouse_move,,,,,1006,1076,moved
1748625282.4587183,mouse_move,,,,,1009,1077,moved
